Instruction,Count,Count Opt,Done,
PUSH,13550019,8410770,Y,
SWAP1,4282969,2095422,Y,
DUP1,4100966,2132234,Y,
POP,4020496,1402824,Y,
DUP2,2894855,1440843,Y,
ADD,2675710,799872,Y,
JUMPDEST,2550308,1795780,N,needed for conditional
AND,2391253,993415,Y,
ISZERO,2035484,995719,Y,
MSTORE,1687685,1169737,,needs memory
SWAP2,1628477,753229,Y,
JUMPI,1477444,1178239,N,needed for conditional
MLOAD,1145674,559937,,needs memory
JUMP,1105010,884404,N,needed for conditional
DUP3,1004550,635132,Y,
SUB,850250,814626,Y,
SLOAD,836883,638549,,needs storage
REVERT,725559,592586,N,terminal
SWAP3,642040,500634,Y,
DUP4,617527,573582,Y,
EQ,547278,406363,Y,
SHA3,470695,387845,,"mystery, needs memory"
DIV,417528,142817,Y,
EXP,389550,593908,,"difficult because non-linear, potentially mystery"
CALLDATALOAD,380852,331754,,mystery
CALLVALUE,377565,319573,,mystery
MUL,347602,118132,Y,
CALLER,279714,210019,,mystery
RETURN,277703,79899,N,terminal
SSTORE,271447,222005,,needs storage
DUP5,251589,329431,Y,
LT,232444,162544,Y,
CALLDATASIZE,225296,43422,,mystery
DUP6,160861,183939,Y,
NOT,153445,103804,Y,
RETURNDATASIZE,134898,91187,,mystery
STOP,131270,63710,N,terminal
GT,121395,99556,Y,
INVALID,117623,75480,N,terminal
DUP7,105189,109802,Y,
DUP8,99195,108449,Y,
OR,75065,54327,Y,
SWAP4,69349,264066,Y,
LOG3,63838,56068,,needs memory
CALL,56285,38379,N,terminal
RETURNDATACOPY,52928,35341,,mystery
GAS,46424,30540,,mystery
DUP9,46307,59090,Y,
EXTCODESIZE,44631,30169,,mystery
ADDRESS,24835,19855,,mystery
TIMESTAMP,20158,15458,,mystery
LOG1,18753,14461,,needs memory
CALLDATACOPY,15760,13321,,mystery
SWAP5,14624,131247,Y,
LOG2,12281,10041,,needs memory
DUP10,11092,26988,Y,
SWAP6,8651,45028,Y,
DUP11,7876,10723,Y,
NUMBER,7214,6152,,mystery
BALANCE,5315,4220,,mystery
DUP12,4626,9655,Y,
CODECOPY,4334,3795,,needs memory (mystery or encodable?)
SWAP7,4035,21053,Y,
MOD,2776,1740,Y,
DUP13,2746,2449,Y,
LOG4,2722,2160,,
SWAP8,2551,16197,Y,
CODESIZE,2324,1780,,mystery or encodable?
SWAP9,1950,7013,Y,
DUP14,1723,2205,Y,
SELFDESTRUCT,1564,1420,N,terminal
SWAP10,1335,4853,Y,
DUP15,1327,2230,Y,
DELEGATECALL,1099,937,N,terminal
SWAP11,1086,3967,Y,
BYTE,979,727,,
CREATE,928,540,N,terminal
DUP16,702,616,Y,
XOR,679,604,Y,
SIGNEXTEND,662,448,,
MSTORE8,548,377,,needs memory
SWAP12,342,2787,Y,
SWAP13,291,534,Y,
BLOCKHASH,265,180,,mystery
ORIGIN,233,157,,mystery
GASPRICE,233,179,,mystery
SLT,221,177,Y,
SGT,214,123,Y,
SWAP14,136,202,Y,
MULMOD,125,122,Y,
COINBASE,125,77,,mystery
SWAP15,89,97,Y,
SDIV,59,53,Y,
DIFFICULTY,54,44,,mystery
GASLIMIT,41,53,,mystery
LOG0,31,30,,needs memory
ADDMOD,31,25,Y,
SWAP16,21,42,Y,
EXTCODECOPY,14,14,,mystery
SMOD,4,4,Y,
CALLCODE,1,1,N,terminal
JUMPIF,0,4,,
EXTCODEHASH,0,3,,
CREATE2,0,1,,
BEGINDATA,0,7,,
